0.1.1	Титульный лист первого издания «Манифеста Коммунистической партии»
1.17.3	Она создала чудеса искусства, но совсем иного рода, чем египетские пирамиды, римские водопроводы и готические соборы; она совершила совсем иные походы, чем переселение народов и крестовые походы.
1.18.1	Буржуазия не может существовать, не вызывая постоянно переворотов в орудиях производства, не революционизируя, следовательно, производственных отношений, а стало быть, и всей совокупности общественных отношений.
1.18.2	Напротив, первым условием существования всех прежних промышленных классов было сохранение старого способа производства в неизменном виде.
1.18.3	Беспрестанные перевороты в производстве, непрерывное потрясение всех общественных отношений, вечная неуверенность и движение отличают буржуазную эпоху от всех других.
1.18.4	Все застывшие, покрывшиеся ржавчиной отношения, вместе с сопутствующими им, веками освященными представлениями и воззрениями, разрушаются, все возникающие вновь оказываются устарелыми, прежде чем успевают окостенеть.
1.18.5	Все сословное и застойное исчезает, все священное оскверняется, и люди приходят, наконец, к необходимости взглянуть трезвыми глазами на свое жизненное положение и свои взаимные отношения.
1.19.1	Потребность в постоянно увеличивающемся сбыте продуктов гонит буржуазию по всему земному шару.
1.19.2	Всюду должна она внедриться, всюду обосноваться, всюду установить связи.
1.20.1	Буржуазия путем эксплуатации всемирного рынка сделала производство и потребление всех стран космополитическим.
1.20.2	К великому огорчению реакционеров она вырвала из-под ног промышленности национальную почву.
1.20.3	Исконные национальные отрасли промышленности уничтожены и продолжают уничтожаться с каждым днем.
1.20.4	Их вытесняют новые отрасли промышленности, введение которых становится вопросом жизни для всех цивилизованных наций, – отрасли, перерабатывающие уже не местное сырье, а сырье, привозимое из самых отдаленных областей земного шара, и вырабатывающие фабричные продукты, потребляемые не только внутри данной страны, но и во всех частях света.
1.20.5	Вместо старых потребностей, удовлетворявшихся отечественными продуктами, возникают новые, для удовлетворения которых требуются продукты самых отдаленных стран и самых различных климатов.
1.20.6	На смену старой местной и национальной замкнутости и существованию за счет продуктов собственного производства приходит всесторонняя связь и всесторонняя зависимость наций друг от друга.
1.20.7	Это в равной мере относится как к материальному, так и к духовному производству.
1.20.8	Плоды духовной деятельности отдельных наций становятся общим достоянием.
1.20.9	Национальная односторонность и ограниченность становятся все более и более невозможными, и из множества национальных и местных литератур образуется одна всемирная литература.
1.21.1	Буржуазия быстрым усовершенствованием всех орудий производства и бесконечным облегчением средств сообщения вовлекает в цивилизацию все, даже самые варварские, нации.
1.21.2	Дешевые цены ее товаров – вот та тяжелая артиллерия, с помощью которой она разрушает все китайские стены и принуждает к капитуляции самую упорную ненависть варваров к иностранцам.
1.21.3	Под страхом гибели заставляет она все нации принять буржуазный способ производства, заставляет их вводить у себя так называемую цивилизацию, т. е. становиться буржуа.
1.21.4	Словом, она создает себе мир по своему образу и подобию.
1.22.1	Буржуазия подчинила деревню господству города.
1.22.2	Она создала огромные города, в высокой степени увеличила численность городского населения по сравнению с сельским и вырвала таким образом значительную часть населения из идиотизма деревенской жизни.
1.22.3	Так же как деревню она сделала зависимой от города, так варварские и полуварварские страны она поставила в зависимость от стран цивилизованных, крестьянские народы – от буржуазных народов, Восток – от Запада.
1.23.1	Буржуазия все более и более уничтожает раздробленность средств производства, собственности и населения.
1.23.2	Она сгустила население, централизовала средства производства, концентрировала собственность в руках немногих.
1.23.3	Необходимым следствием этого была политическая централизация.
1.23.4	Независимые, связанные почти только союзными отношениями области с различными интересами, законами, правительствами и таможенными пошлинами, оказались сплоченными в одну нацию, с одним правительством, с одним законодательством, с одним национальным классовым интересом, с одной таможенной границей.
1.24.1	Буржуазия менее чем за сто лет своего классового господства создала более многочисленные и более грандиозные производительные силы, чем все предшествовавшие поколения, вместе взятые.
1.24.2	Покорение сил природы, машинное производство, применение химии в промышленности и земледелии, пароходство, железные дороги, электрический телеграф, освоение для земледелия целых частей света, приспособление рек для судоходства, целые, словно вызванные из-под земли, массы населения, – какое из прежних столетий могло подозревать, что такие производительные силы дремлют в недрах общественного труда!
1.25.1	Итак, мы видели, что средства производства и обмена, на основе которых сложилась буржуазия, были созданы в феодальном обществе.
1.25.2	На известной ступени развития этих средств производства и обмена отношения, в которых происходили производство и обмен феодального общества, феодальная организация земледелия и промышленности, одним словом, феодальные отношения собственности, уже перестали соответствовать развившимся производительным силам.
1.25.3	Они тормозили производство, вместо того чтобы его развивать.
1.25.4	Они превратились в его оковы.
1.25.5	Их необходимо было разбить, и они были разбиты.
1.26.1	Место их заняла свободная конкуренция, с соответствующим ей общественным и политическим строем, с экономическим и политическим господством класса буржуазии.
1.27.1	Подобное же движение совершается на наших глазах.
1.27.2	Современное буржуазное общество, с его буржуазными отношениями производства и обмена, буржуазными отношениями собственности, создавшее как бы по волшебству столь могущественные средства производства и обмена, походит на волшебника, который не в состоянии более справиться с подземными силами, вызванными его заклинаниями.
1.27.3	Вот уже несколько десятилетий история промышленности и торговли представляет собой лишь историю возмущения современных производительных сил против современных производственных отношений, против тех отношений собственности, которые являются условием существования буржуазии и ее господства.
1.27.4	Достаточно указать на торговые кризисы, которые, возвращаясь периодически, все более и более грозно ставят под вопрос существование всего буржуазного общества.
1.27.5	Во время торговых кризисов каждый раз уничтожается значительная часть не только изготовленных продуктов, но даже созданных уже производительных сил.
1.27.6	Во время кризисов разражается общественная эпидемия, которая всем предшествующим эпохам показалась бы нелепостью, – эпидемия перепроизводства.
1.27.7	Общество оказывается вдруг отброшенным назад к состоянию внезапно наступившего варварства, как будто голод, всеобщая опустошительная война лишили его всех жизненных средств; кажется, что промышленность, торговля уничтожены, – и почему?
1.27.8	Потому, что общество обладает слишком большой цивилизацией, имеет слишком много жизненных средств, располагает слишком большой промышленностью и торговлей.
1.27.9	Производительные силы, находящиеся в его распоряжении, не служат более развитию буржуазных отношений собственности; напротив, они стали непомерно велики для этих отношений, буржуазные отношения задерживают их развитие; и когда производительные силы начинают преодолевать эти преграды, они приводят в расстройство все буржуазное общество, ставят под угрозу существование буржуазной собственности.
1.27.10	Буржуазные отношения стали слишком узкими, чтобы вместить созданное ими богатство.
1.27.11	– Каким путем преодолевает буржуазия кризисы?
1.27.12	С одной стороны, путем вынужденного уничтожения целой массы производительных сил, с другой стороны, путем завоевания новых рынков и более основательной эксплуатации старых.
1.27.13	Чем же, следовательно?
1.27.14	Тем, что она подготовляет более всесторонние и более сокрушительные кризисы и уменьшает средства противодействия им.
1.28.1	Оружие, которым буржуазия ниспровергла феодализм, направляется теперь против самой буржуазии.
1.29.1	Но буржуазия не только выковала оружие, несущее ей смерть; она породила и людей, которые направят против нее это оружие, – современных рабочих, пролетариев.
1.30.1	В той же самой степени, в какой развивается буржуазия, т. е. капитал, развивается и пролетариат, класс современных рабочих, которые только тогда и могут существовать, когда находят работу, а находят ее лишь до тех пор, пока их труд увеличивает капитал.
1.30.2	Эти рабочие, вынужденные продавать себя поштучно, представляют собой такой же товар, как и всякий другой предмет торговли, а потому в равной мере подвержены всем случайностям конкуренции, всем колебаниям рынка.
1.31.1	Вследствие возрастающего применения машин и разделения труда, труд пролетариев утратил всякий самостоятельный характер, а вместе с тем и всякую привлекательность для рабочего.
1.31.2	Рабочий становится простым придатком машины, от него требуются только самые простые, самые однообразные, легче всего усваиваемые приемы.
1.31.3	Издержки на рабочего сводятся поэтому почти исключительно к жизненным средствам, необходимым для его содержания и продолжения его рода.
1.31.4	Но цена всякого товара, а следовательно и труда, равна издержкам его производства.
1.31.5	Поэтому в той же самой мере, в какой растет непривлекательность труда, уменьшается заработная плата.
1.31.6	Больше того: в той же мере, в какой возрастает применение машин и разделение труда, возрастает и количество труда, за счет ли увеличения числа рабочих часов, или же вследствие увеличения количества труда, требуемого в каждый данный промежуток времени, ускорения хода машин и т. д.
1.32.1	Современная промышленность превратила маленькую мастерскую патриархального мастера в крупную фабрику промышленного капиталиста.
1.32.2	Массы рабочих, скученные на фабрике, организуются по-солдатски.
1.32.3	Как рядовые промышленной армии, они ставятся под надзор целой иерархии унтер-офицеров и офицеров.
1.32.4	Они – рабы не только класса буржуазии, буржуазного государства, ежедневно и ежечасно порабощает их машина, надсмотрщик и прежде всего сам отдельный буржуа-фабрикант.
1.32.5	Эта деспотия тем мелочнее, ненавистнее, она тем больше ожесточает, чем откровеннее ее целью провозглашается нажива.
1.33.1	Чем менее искусства и силы требует ручной труд, т. е. чем более развивается современная промышленность, тем более мужской труд вытесняется женским и детским.
1.33.2	По отношению к рабочему классу различия пола и возраста утрачивают всякое общественное значение.
1.33.3	Существуют лишь рабочие инструменты, требующие различных издержек в зависимости от возраста и пола.
1.34.1	Когда заканчивается эксплуатация рабочего фабрикантом и рабочий получает, наконец, наличными свою заработную плату, на него набрасываются другие части буржуазии – домовладелец, лавочник, ростовщик и т. п.
1.35.1	Низшие слои среднего сословия: мелкие промышленники, мелкие торговцы и рантье, ремесленники и крестьяне – все эти классы опускаются в ряды пролетариата, частью оттого, что их маленького капитала недостаточно для ведения крупных промышленных предприятий и он не выдерживает конкуренции с более крупными капиталистами, частью потому, что их профессиональное мастерство обесценивается в результате введения новых методов производства.
1.35.2	Так рекрутируется пролетариат из всех классов населения.
1.36.1	Пролетариат проходит различные ступени развития.
1.36.2	Его борьба против буржуазии начинается вместе с его существованием.
1.37.1	Сначала борьбу ведут отдельные рабочие, потом рабочие одной фабрики, затем рабочие одной отрасли труда в одной местности против отдельного буржуа, который их непосредственно эксплуатирует.
1.37.2	Рабочие направляют свои удары не только против буржуазных производственных отношений, но и против самих орудий производства; они уничтожают конкурирующие иностранные товары, разбивают машины, поджигают фабрики, силой пытаются восстановить потерянное положение средневекового рабочего.
1.38.1	На этой ступени рабочие образуют рассеянную по всей стране и раздробленную конкуренцией массу.
1.38.2	Сплочение рабочих масс пока является еще не следствием их собственного объединения, а лишь следствием объединения буржуазии, которая для достижения своих собственных политических целей должна, и пока еще может, приводить в движение весь пролетариат.
1.38.3	На этой ступени пролетарии борются, следовательно, не со своими врагами, а с врагами своих врагов – с остатками абсолютной монархии, землевладельцами, непромышленными буржуа, мелкими буржуа.
1.38.4	Все историческое движение сосредоточивается, таким образом, в руках буржуазии; каждая одержанная в таких условиях победа является победой буржуазии.
1.39.1	Но с развитием промышленности пролетариат не только возрастает численно; он скопляется в большие массы, сила его растет, и он все более ее ощущает.
1.39.2	Интересы и условия жизни пролетариата все более и более уравниваются по мере того, как машины все более стирают различия между отдельными видами труда и почти всюду низводят заработную плату до одинаково низкого уровня.
1.39.3	Возрастающая конкуренция буржуа между собою и вызываемые ею торговые кризисы ведут к тому, что заработная плата рабочих становится все неустойчивее; все быстрее развивающееся, непрерывное совершенствование машин делает жизненное положение пролетариев все менее обеспеченным; столкновения между отдельным рабочим и отдельным буржуа все более принимают характер столкновений между двумя классами.
1.39.4	Рабочие начинают с того, что образуют коалиции против буржуа; они выступают сообща для защиты своей заработной платы.
1.39.5	Они основывают даже постоянные ассоциации для того, чтобы обеспечить себя средствами на случай возможных столкновений.
1.39.6	Местами борьба переходит в открытые восстания.
1.40.1	Рабочие время от времени побеждают, но эти победы лишь преходящи.
1.40.2	Действительным результатом их борьбы является не непосредственный успех, а все шире распространяющееся объединение рабочих.
1.40.3	Ему способствуют все растущие средства сообщения, создаваемые крупной промышленностью и устанавливающие связь между рабочими различных местностей.
1.40.4	Лишь эта связь и требуется для того, чтобы централизовать многие местные очаги борьбы, носящей повсюду одинаковый характер, и слить их в одну национальную, классовую борьбу.
1.40.5	А всякая классовая борьба есть борьба политическая.
1.40.6	И объединение, для которого средневековым горожанам с их проселочными дорогами требовались столетия, достигается современными пролетариями, благодаря железным дорогам, в течение немногих лет.
1.41.1	Эта организация пролетариев в класс, и тем самым – в политическую партию, ежеминутно вновь разрушается конкуренцией между самими рабочими.
1.41.2	Но она возникает снова и снова, становясь каждый раз сильнее, крепче, могущественнее.
1.41.3	Она заставляет признать отдельные интересы рабочих в законодательном порядке, используя для этого раздоры между отдельными слоями буржуазии.
1.41.4	Например, закон о десятичасовом рабочем дне в Англии.
1.42.1	Вообще столкновения внутри старого общества во многих отношениях способствуют процессу развития пролетариата.
1.42.2	Буржуазия ведет непрерывную борьбу: сначала против аристократии, позднее против тех частей самой же буржуазии, интересы которых приходят в противоречие с прогрессом промышленности, и постоянно – против буржуазии всех зарубежных стран.
1.42.3	Во всех этих битвах она вынуждена обращаться к пролетариату, призывать его на помощь и вовлекать его таким образом в политическое движение.
1.42.4	Она, следовательно, сама передает пролетариату элементы своего собственного образования, т. е. оружие против самой себя.
1.43.1	Далее, как мы видели, прогресс промышленности сталкивает в ряды пролетариата целые слои господствующего класса или, по крайней мере, ставит под угрозу условия их жизни.
1.43.2	Они также приносят пролетариату большое количество элементов образования.
1.44.1	Наконец, в те периоды, когда классовая борьба приближается к развязке, процесс разложения внутри господствующего класса, внутри всего старого общества принимает такой бурный, такой резкий характер, что небольшая часть господствующего класса отрекается от него и примыкает к революционному классу, к тому классу, которому принадлежит будущее.
1.44.2	Вот почему, как прежде часть дворянства переходила к буржуазии, так теперь часть буржуазии переходит к пролетариату, именно – часть буржуа-идеологов, которые возвысились до теоретического понимания всего хода исторического движения.
1.45.1	Из всех классов, которые противостоят теперь буржуазии, только пролетариат представляет собой действительно революционный класс.
1.45.2	Все прочие классы приходят в упадок и уничтожаются с развитием крупной промышленности, пролетариат же есть ее собственный продукт.
1.46.1	Средние сословия: мелкий промышленник, мелкий торговец, ремесленник и крестьянин – все они борются с буржуазией для того, чтобы спасти свое существование от гибели, как средних сословий.
1.46.2	Они, следовательно, не революционны, а консервативны.
1.46.3	Даже более, они реакционны: они стремятся повернуть назад колесо истории.
1.46.4	Если они революционны, то постольку, поскольку им предстоит переход в ряды пролетариата, поскольку они защищают не свои настоящие, а свои будущие интересы, поскольку они покидают свою собственную точку зрения для того, чтобы встать на точку зрения пролетариата.
1.47.1	Люмпен-пролетариат, этот пассивный продукт гниения самых низших слоев старого общества, местами вовлекается пролетарской революцией в движение, но в силу всего своего жизненного положения он гораздо более склонен продавать себя для реакционных козней.
1.48.1	Жизненные условия старого общества уже уничтожены в жизненных условиях пролетариата.
1.48.2	У пролетария нет собственности; его отношение к жене и детям не имеет более ничего общего с буржуазными семейными отношениями; современный промышленный труд, современное иго капитала, одинаковое как в Англии, так и во Франции, как в Америке, так и в Германии, стерли с него всякий национальный характер.
1.48.3	Законы, мораль, религия – все это для него не более как буржуазные предрассудки, за которыми скрываются буржуазные интересы.
1.49.1	Все прежние классы, завоевав себе господство, стремились упрочить уже приобретенное ими положение в жизни, подчиняя все общество условиям, обеспечивающим их способ присвоения.
1.49.2	Пролетарии же могут завоевать общественные производительные силы, лишь уничтожив свой собственный нынешний способ присвоения, а тем самым и весь существовавший до сих пор способ присвоения в целом.
1.49.3	У пролетариев нет ничего своего, что надо было бы им охранять, они должны разрушить все, что до сих пор охраняло и обеспечивало частную собственность.
1.50.1	Все до сих пор происходившие движения были движениями меньшинства или совершались в интересах меньшинства.
1.50.2	Пролетарское движение есть самостоятельное движение огромного большинства в интересах огромного большинства.
1.50.3	Пролетариат, самый низший слой современного общества, не может подняться, не может выпрямиться без того, чтобы при этом не взлетела на воздух вся возвышающаяся над ним надстройка из слоев, образующих официальное общество.
1.51.1	Если не по содержанию, то по форме борьба пролетариата против буржуазии является сначала борьбой национальной.
1.51.2	Пролетариат каждой страны, конечно, должен сперва покончить со своей собственной буржуазией.
1.52.1	Описывая наиболее общие фазы развития пролетариата, мы прослеживали более или менее прикрытую гражданскую войну внутри существующего общества вплоть до того пункта, когда она превращается в открытую революцию, и пролетариат основывает свое господство посредством насильственного ниспровержения буржуазии.
1.53.1	Все доныне существовавшие общества основывались, как мы видели, на антагонизме между классами угнетающими и угнетенными.
1.53.2	Но, чтобы возможно было угнетать какой-либо класс, необходимо обеспечить условия, при которых он мог бы влачить, по крайней мере, свое рабское существование.
1.53.3	Крепостной в крепостном состоянии выбился до положения члена коммуны так же, как мелкий буржуа под ярмом феодального абсолютизма выбился до положения буржуа.
1.53.4	Наоборот, современный рабочий с прогрессом промышленности не поднимается, а все более опускается ниже условий существования своего собственного класса.
1.53.5	Рабочий становится паупером, и пауперизм растет еще быстрее, чем население и богатство.
1.53.6	Это ясно показывает, что буржуазия неспособна оставаться долее господствующим классом общества и навязывать всему обществу условия существования своего класса в качестве регулирующего закона.
1.53.7	Она неспособна господствовать, потому что неспособна обеспечить своему рабу даже рабского уровня существования, потому что вынуждена дать ему опуститься до такого положения, когда она сама должна его кормить, вместо того чтобы кормиться за его счет.
1.53.8	Общество не может более жить под ее властью, т. е. ее жизнь несовместима более с обществом.
1.54.1	Основным условием существования и господства класса буржуазии является накопление богатства в руках частных лиц, образование и увеличение капитала.
1.54.2	Условием существования капитала является наемный труд.
1.54.3	Наемный труд держится исключительно на конкуренции рабочих между собой.
1.54.4	Прогресс промышленности, невольным носителем которого является буржуазия, бессильная ему сопротивляться, ставит на место разъединения рабочих конкуренцией революционное объединение их посредством ассоциации.
1.54.5	Таким образом, с развитием крупной промышленности из-под ног буржуазии вырывается сама основа, на которой она производит и присваивает продукты.
1.54.6	Она производит прежде всего своих собственных могильщиков.
1.54.7	Ее гибель и победа пролетариата одинаково неизбежны.
2.1.1	В каком отношении стоят коммунисты к пролетариям вообще?
2.2.1	Коммунисты не являются особой партией, противостоящей другим рабочим партиям.
2.3.1	У них нет никаких интересов, отдельных от интересов всего пролетариата в целом.
2.4.1	Они не выставляют никаких особых принципов, под которые они хотели бы подогнать пролетарское движение.
2.5.1	Коммунисты отличаются от остальных пролетарских партий лишь тем, что, с одной стороны, в борьбе пролетариев различных наций они выделяют и отстаивают общие, не зависящие от национальности интересы всего пролетариата; с другой стороны, тем, что на различных ступенях развития, через которые проходит борьба пролетариата с буржуазией, они всегда являются представителями интересов движения в целом.
2.6.1	Коммунисты, следовательно, на практике являются самой решительной, всегда побуждающей к движению вперед частью рабочих партий всех стран, а в теоретическом отношении у них перед остальной массой пролетариата преимущество в понимании условий, хода и общих результатов пролетарского движения.
2.7.1	Ближайшая цель коммунистов та же, что и всех остальных пролетарских партий: формирование пролетариата в класс, ниспровержение господства буржуазии, завоевание пролетариатом политической власти.
2.8.1	Теоретические положения коммунистов ни в какой мере не основываются на идеях, принципах, выдуманных или открытых тем или другим обновителем мира.
2.9.1	Они являются лишь общим выражением действительных отношений происходящей классовой борьбы, выражением совершающегося на наших глазах исторического движения.
2.9.2	Уничтожение ранее существовавших отношений собственности не является чем-то присущим исключительно коммунизму.
2.10.1	Все отношения собственности были подвержены постоянной исторической смене, постоянным историческим изменениям.
2.11.1	Например, французская революция отменила феодальную собственность, заменив ее собственностью буржуазной.
2.12.1	Отличительной чертой коммунизма является не отмена собственности вообще, а отмена буржуазной собственности.
2.13.1	Но современная буржуазная частная собственность есть последнее и самое полное выражение такого производства и присвоения продуктов, которое держится на классовых антагонизмах, на эксплуатации одних другими.
2.14.1	В этом смысле коммунисты могут выразить свою теорию одним положением: уничтожение частной собственности.
2.15.1	Нас, коммунистов, упрекали в том, что мы хотим уничтожить собственность, лично приобретенную, добытую своим трудом, собственность, образующую основу всякой личной свободы, деятельности и самостоятельности.
2.16.1	Заработанная, благоприобретенная, добытая своим трудом собственность!
2.16.2	Говорите ли вы о мелкобуржуазной, мелкокрестьянской собственности, которая предшествовала собственности буржуазной?
2.16.3	Нам нечего ее уничтожать, развитие промышленности ее уничтожило и уничтожает изо дня в день.
2.17.1	Или, быть может, вы говорите о современной буржуазной частной собственности?
2.18.1	Но разве наемный труд, труд пролетария, создает ему собственность?
2.18.2	Никоим образом.
2.18.3	Он создает капитал, т. е. собственность, эксплуатирующую наемный труд, собственность, которая может увеличиваться лишь при условии, что она порождает новый наемный труд, чтобы снова его эксплуатировать.
2.18.4	Собственность в ее современном виде движется в противоположности между капиталом и наемным трудом.
2.18.5	Рассмотрим же обе стороны этой противоположности.
2.19.1	Быть капиталистом – значит занимать в производстве не только чисто личное, но и общественное положение.
2.19.2	Капитал – это коллективный продукт и может быть приведен в движение лишь совместной деятельностью многих членов общества, а в конечном счете – только совместной деятельностью всех членов общества.
2.20.1	Итак, капитал – не личная, а общественная сила.
2.21.1	Следовательно, если капитал будет превращен в коллективную, всем членам общества принадлежащую, собственность, то это не будет превращением личной собственности в общественную.
2.21.2	Изменится лишь общественный характер собственности.
2.21.3	Она потеряет свой классовый характер.
2.22.1	Перейдем к наемному труду.
2.23.1	Средняя цена наемного труда есть минимум заработной платы, т. е. сумма жизненных средств, необходимых для сохранения жизни рабочего как рабочего.
2.23.2	Следовательно, того, что наемный рабочий присваивает в результате своей деятельности, едва хватает для воспроизводства его жизни.
2.23.3	Мы вовсе не намерены уничтожить это личное присвоение продуктов труда, служащих непосредственно для воспроизводства жизни, присвоение, не оставляющее никакого избытка, который мог бы создать власть над чужим трудом.
2.23.4	Мы хотим уничтожить только жалкий характер такого присвоения, когда рабочий живет только для того, чтобы увеличивать капитал, и живет лишь постольку, поскольку этого требуют интересы господствующего класса.
2.24.1	В буржуазном обществе живой труд есть лишь средство увеличивать накопленный труд.
2.24.2	В коммунистическом обществе накопленный труд – это лишь средство расширять, обогащать, облегчать жизненный процесс рабочих.
2.25.1	Таким образом, в буржуазном обществе прошлое господствует над настоящим, в коммунистическом обществе – настоящее над прошлым.
2.25.2	В буржуазном обществе капитал обладает самостоятельностью и индивидуальностью, между тем как трудящийся индивидуум лишен самостоятельности и обезличен.
2.26.1	И уничтожение этих отношений буржуазия называет упразднением личности и свободы!
2.26.2	Она права.
2.26.3	Действительно, речь идет об упразднении буржуазной личности, буржуазной самостоятельности и буржуазной свободы.
2.27.1	Под свободой, в рамках нынешних буржуазных производственных отношений, понимают свободу торговли, свободу купли и продажи.
2.28.1	Но с падением торгашества падет и свободное торгашество.
2.28.2	Разговоры о свободном торгашестве, как и все прочие высокопарные речи наших буржуа о свободе, имеют вообще смысл лишь по отношению к несвободному торгашеству, к порабощенному горожанину средневековья, а не по отношению к коммунистическому уничтожению торгашества, буржуазных производственных отношений и самой буржуазии.
2.29.1	Вы приходите в ужас от того, что мы хотим уничтожить частную собственность.
2.29.2	Но в вашем нынешнем обществе частная собственность уничтожена для девяти десятых его членов; она существует именно благодаря тому, что не существует для девяти десятых.
2.29.3	Вы упрекаете нас, следовательно, в том, что мы хотим уничтожить собственность, предполагающую в качество необходимого условия отсутствие собственности у огромного большинства общества.
2.30.1	Одним словом, вы упрекаете нас в том, что мы хотим уничтожить вашу собственность.
2.30.2	Да, мы действительно хотим это сделать.
